symbol,series,ex_date,purpose,action_type,ratio_a,ratio_b,adjustment_factor
RELIANCE,EQ,2023-07-20,Demerger of Financial Services Business into Jio Financial Services,DEMERGER,1.0,1.0,0.9118
RELIANCE,EQ,2017-09-07,BONUS 1:1,BONUS,1.0,1.0,0.5
TCS,EQ,2018-05-31,BONUS 1:1,BONUS,1.0,1.0,0.5
TCS,EQ,2009-06-16,BONUS 1:1,BONUS,1.0,1.0,0.5
INFY,EQ,2018-09-13,BONUS 1:1,BONUS,1.0,1.0,0.5
INFY,EQ,2015-06-15,BONUS 1:1,BONUS,1.0,1.0,0.5
INFY,EQ,2014-12-02,BONUS 1:1,BONUS,1.0,1.0,0.5
HDFCBANK,EQ,2019-09-19,SPLIT FROM RS 2 TO RS 1,SPLIT,1.0,1.0,0.5
HDFCBANK,EQ,2011-07-14,SPLIT FROM RS 10 TO RS 2,SPLIT,4.0,1.0,0.2
WIPRO,EQ,2019-03-06,BONUS 1:3,BONUS,1.0,3.0,0.75
WIPRO,EQ,2017-06-13,BONUS 1:1,BONUS,1.0,1.0,0.5
WIPRO,EQ,2010-06-15,BONUS 2:3,BONUS,2.0,3.0,0.6
TITAN,EQ,2011-06-23,SPLIT FROM RS 10 TO RS 1,SPLIT,9.0,1.0,0.1
TITAN,EQ,2011-06-23,BONUS 1:1,BONUS,1.0,1.0,0.5
BAJFINANCE,EQ,2016-09-08,SPLIT FROM RS 10 TO RS 2,SPLIT,4.0,1.0,0.2
BAJFINANCE,EQ,2016-09-08,BONUS 1:1,BONUS,1.0,1.0,0.5
EICHERMOT,EQ,2020-08-24,SPLIT FROM RS 10 TO RS 1,SPLIT,9.0,1.0,0.1
KOTAKBANK,EQ,2015-07-08,BONUS 1:1,BONUS,1.0,1.0,0.5
LT,EQ,2013-07-11,BONUS 1:2,BONUS,1.0,2.0,0.666667
ICICIBANK,EQ,2017-06-20,BONUS 1:10,BONUS,1.0,10.0,0.909091
ICICIBANK,EQ,2014-12-04,SPLIT FROM RS 10 TO RS 2,SPLIT,4.0,1.0,0.2
AXISBANK,EQ,2014-07-29,SPLIT FROM RS 10 TO RS 2,SPLIT,4.0,1.0,0.2
NESTLEIND,EQ,2024-01-05,SPLIT FROM RS 10 TO RS 1,SPLIT,9.0,1.0,0.1
TATAMOTORS,EQ,2011-09-12,SPLIT FROM RS 10 TO RS 2,SPLIT,4.0,1.0,0.2
TATASTEEL,EQ,2022-07-28,SPLIT FROM RS 10 TO RS 1,SPLIT,9.0,1.0,0.1
ITC,EQ,2016-07-01,BONUS 1:2,BONUS,1.0,2.0,0.666667
PIDILITIND,EQ,2010-09-08,BONUS 1:1,BONUS,1.0,1.0,0.5
